Time (J2000),Orientation Z-axis
2451441.77453195,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.778072665,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.78161338,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.7851540954,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.78869481,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.7922355253,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.7957762405,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.7993169557,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.802857671,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.8063983857,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.809939101,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.813479816,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.8170205313,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.8205612465,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.8241019617,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.8276426764,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.8311833916,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.834724107,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.838264822,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.841805537,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.845346252,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.848886967,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.8524276824,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.8559683976,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.859509113,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.863049828,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.8665905427,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.870131258,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.873671973,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.8772126883,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.8807534035,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.8842941187,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.8878348335,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.8913755487,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.894916264,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.898456979,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.9019976943,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.905538409,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.909079124,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.9126198394,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.9161605546,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.91970127,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.923241985,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.9267827,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.930323415,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.93386413,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
